,title,book,id
0,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,"Digital Humanities als Beruf. Fortschritte auf dem Weg zu einem Curriculum. Akten der DHd-Arbeitsgruppe "" Referenzcurriculum Digital Humanities "" . Graz 2015.",FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__0
1,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,Digital Humanities Course Registry. Dariah/Clarin 2014-2018. https://registries.clarin-dariah.eu/courses/,FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__1
2,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,"Fritze, Christiane / Rehbein, Malte (2012): "" Hands-On Teaching Digital Humanities: A Didactic Analysis of a Summer School Course on Digital Editing "" , in: Hirsch, Brett D. (ed.) Digital Humanities Pedagogy: Practices, Principles and Politics [Online]. Cambridge: Open Book Publishers. http://books.openedition.org/obp/1617",FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__2
3,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,"Henny, Ulrike (2012): "" Digitale Editionen – Methoden und Technologien für Fortgeschrittene "" [Tagungsbericht zur IDE-School, Chemnitz 2012], in: H-Soz-Kult, 11.12.2012, www.hsozkult.de/conferencereport/id/tagungsberichte-4540",FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__3
4,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,"Locke, Brandon T. (2017): "" Digital Humanities Pedagogy as Essential Liberal Education: A Framework for Curriculum Development "" , in: DHQ 11.3 (2017). http://www.digitalhumanities.org/dhq/vol/11/3/000303/000303.html",FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__4
5,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,"Neuber, Frederike (2015): "" Spring in Graz – Sunshine and X-technologies "" [Bericht zur IDE-School Graz 2015], in : DiXiT Blog 26.4.2015. https://dixit.hypotheses.org/633",FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__5
6,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,"Sahle, Patrick (2008): ""Digitale Editionen – Methodische und technische Grundfertigkeiten"" [Tagungsbericht zur IDE-School, Köln 2008], in: H-Soz-Kult, 21.11.2008, www.hsozkult.de/conferencereport/id/tagungsberichte-2353",FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__6
7,010 Jahre IDE-Schools – Erfahrungen und Entwicklungen in der außeruniversitären DH-Ausbildung,"Sahle, Patrick (2013): DH studieren! Auf dem Weg zu einem Kern- und Referenzcurriculum der Digital Humanities. (= DARIAH-DE Working Papers Nr. 1). Göttingen: GOEDOC. http://nbn-resolving.de/urn.nbn.de.gbv:7-dariah-2013-1-5",FRITZE_Christiane_010_Jahre_IDE_Schools___Erfahrungen_und_En.xml__7
8,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Agarwal, A., A. Corvalan, J. Jensen und O. Rambow (2012). „Social Network Analysis of Alice in Wonderland“. Proceedings of the Workshop on Computational Linguistics for Literature: 88–96.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__0
9,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Bastian, M., S. Heymann und M. Jacomy (2008). „Gephi: An open source sofware for exploring and manipulating networks.“. AVI 2008 – Proceedings of the Working Conference on Advanced Visual Interfaces.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__1
10,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Lahn, Silke, J. C. Meister (2008): Einführung in die Erzähltextanalyse. Stuttgart: Verlag J.B. Metzler.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__2
11,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Meister, J. C., M. Petris, E. Gius und J. Jacke (2016). CATMA 5.0. software for text annotation and analysis.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__3
12,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Moretti, F. (2011). „Network Theory, Plot Analysis.“. Stanford Literary Lab Pamphlets 2.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__4
13,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Müller-Salget, Klaus (2009): Die Herrmannsschlacht. In: Ingo Breuer (Hg.): Kleist-Handbuch. Leben – Werk – Wirkung. Stuttgart: Verlag J.B. Metzler. S. 76-79.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__5
14,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Piper, Andrew, Mark Algee-Hewitt, Koustuv Sinha, Derek Ruths und Hardik Vala (2017). „Studying Literary Characters and Character Networks“. Digital Humanities 2017, Conference Abstracts.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__6
15,Netzwerkanalyse narrativer Informationsvermittlung in Dramen,"Pfister,Manfred (2001): Das Drama. München. Wilhelm Fink Verlag.",VAUTH_Michael_Netzwerkanalyse_narrativer_Informationsvermitt.xml__7
